Soil Moisture Content (%),Bulk Density (g/cm³),Soil Texture,Ploughing Depth (cm),Disc Angle (°),Operating Speed (km/h),Width of Cut (cm),Ambient Temperature (°C),Humidity (%),Draft Force (kN/m),Depth × Width,Moisture × Bulk Density,Humidity × Bulk Density,Angle × Depth
-0.23899915163109006,-0.26317844423442865,0,-0.8219477536778518,0.22946743334532532,-0.3452576519898796,-0.8279256484777568,-0.9157279593445311,-0.8268691854136175,1.95,0.680511626978571,0.0628994248996186,0.21761414580254518,-0.18861024138041232
0.9214505409332693,-0.3442252189038207,0,-0.8862188578427701,-0.8830954341544579,0.6257374037073682,-0.9027314123808027,0.8797880439386461,0.6674069203978334,1.95,0.8000176012189056,-0.3171865141617986,-0.22973829327186904,0.7826158270225289
0.48506430649790194,-0.6561610675976668,0,0.21847965853298065,0.23516949098620585,0.8863054614374931,0.469608382857671,0.052583662312090274,0.887208168962139,4.25,0.1025998791309692,-0.3182803132051852,-0.5821514593275683,0.051379750088041125
0.21497814079149,0.20171773030043252,1,0.9155804435936707,-0.8039342502971278,0.6736544976983765,-0.4798649621497053,0.3831835497479419,0.1262745049202821,4.25,-0.43935497491008724,0.04336490262466619,0.025471806527330106,-0.7360664775071895
-0.6816393112922453,-0.05825008166589592,1,0.012210642499333643,0.4301961987210302,-0.3129237553338056,0.7573731455223642,0.8081320823334478,0.10782579047691636,4.25,0.009248012718569384,0.039705545549458335,-0.00628086110097016,0.005252971987154793
-0.6816881693544573,0.7159806717579437,1,-0.9048017481616495,-0.20661106841278798,0.4153324238625351,0.07078251724752282,-0.1520076930283797,0.3380402546588895,2.852527286,-0.06404414534484076,-0.48807555342384723,0.24203028861189804,0.18694205588943671
-0.8800178729711237,-0.9067728350626614,0,-0.5600265522874089,0.6834191136605802,0.06162781563065931,-0.044369267649097974,-0.1369907029892359,-0.28250124494708534,4.047855398,0.024847967989041608,0.7979763015798388,0.2561644547893999,-0.38273284999065155
0.7568656540832576,0.2745511954233054,1,-0.5121049329649794,0.8918650185673638,0.5654585931717313,0.5467536968809105,-0.6850502991962649,-0.6495636786273742,4.13238997,-0.2799952652895533,0.20779837010340033,-0.17833848447070536,-0.45672847554724993
0.21995411721867072,0.5115124527197987,0,-0.32292444371961077,-0.15286017199102533,-0.697977044946731,0.48303573623450446,0.794576614352762,-0.8446238166136282,4.25,-0.15598404642021999,0.11250926998434038,-0.4320356000615944,0.049362286007085886
0.4366088578509743,0.5046227616219539,1,-0.9048017481616495,-0.06647569381387405,0.26948988897306014,0.40908060241885735,0.2775910973680881,0.7542840409055348,2.949232984,-0.37013684420760284,0.22032276759736574,0.3806288957691178,0.060147323973051794
-0.8953642107115546,0.7565212096934392,1,0.8297426495438313,0.1912012276968283,0.5398256564679551,0.3802059978518332,-0.6584401743338207,0.09921789107004184,4.25,0.3154731320300363,-0.6773620158037167,0.07506043897553992,0.15864781326519967
0.9214505409332693,0.44402412966406435,1,0.0383170881539991,-0.59025623545013,0.5150216311577149,0.029697499523682724,0.10159853668493192,0.38721672251698586,4.217685951,0.0011379217072022972,0.4091462744663762,0.17193356820697614,-0.022616900207190278
0.6885345950227816,0.8395726023020159,1,0.35414604607325817,0.8616490011376114,0.8863054614374931,0.8553867675878541,-0.3622637651520535,-0.32328282265956726,4.25,0.30293184160462355,0.5780747817182413,-0.271419400699834,0.3051495868558574
-0.5675557799153723,-0.3447336428057094,0,-0.8731701280006591,-0.12126585755185448,-0.8868400600461758,0.783410787433233,-0.7247013151743472,0.6088693736422527,4.25,-0.6840508975401732,0.19565557150566176,-0.20989775716852435,0.10588572436066247
-0.6293656552553707,-0.005347629463914676,1,-0.8997130828475371,-0.6505283592717909,-0.31364891549464397,-0.3438818307411794,-0.6552355867559164,-0.28821287870870926,2.166238557,0.3093949820714015,0.0033656143216195867,0.0015412556820623604,0.5852888756001732
-0.6261661116444291,-0.9067728350626614,1,0.18245003651467778,0.5343619213556104,-0.052803505839146496,0.6107789678233243,0.10052742368033281,-0.8809956050974095,4.25,0.11143664498176273,0.5677904202759819,0.7988628825119228,0.0974943520633845
-0.38139551113756587,-0.9067728350626614,0,0.7939721855150895,-0.5464750946528592,-0.38548698303270007,0.7843490048860158,0.11079698003556634,-0.313759778611807,4.25,0.6227512936159356,0.3458390889143834,0.2845088439804612,-0.433886025231096
0.06528111067060895,-0.528860652319935,0,0.06457684924284635,-0.6968395171080353,-0.3854351521529228,0.23629876030418062,0.5624983484147165,0.6938842830816292,4.25,0.015259429420434557,-0.03452461077342811,-0.3669680945851008,-0.04499970044274344
-0.12271898411630873,-0.8060948036583703,1,0.7747077163004122,0.13696753342642498,-0.6520384320939974,0.11040896815703395,-0.5228328957938495,0.7440535384545456,4.25,0.08553467958002071,0.09892313540639054,-0.5997776909918325,0.10610980502808608
-0.4077550338057014,-0.48889368320800275,1,0.6388602941328836,0.352950193282451,0.6181837296560954,0.3440228820357524,0.8146130001274591,0.8595139752952106,4.25,0.21978255960580306,0.19934886032387303,-0.4202109531508278,0.22548586429468473
0.24170492288689954,-0.6543912599145479,0,-0.8555235379919789,0.1502710262435184,0.8079076792707433,-0.6779988987145976,0.019132609213890508,0.005308999689562999,1.95,0.5800440165829779,-0.15816958901550685,-0.003474162995739075,-0.12856040002954036
-0.7151121361263599,-0.9067728350626614,0,-0.5991805863697744,0.3231553078375297,-0.8391366698072057,-0.8300830894360928,-0.6105707378670289,0.887208168962139,2.018479872,0.497369672263952,0.6484442590630152,-0.8044962666605515,-0.193628386838596
-0.4059005677560063,0.8027473645673586,1,0.32727224367078905,-0.752524236195635,-0.6943836955385183,0.641823166589265,-0.19180774820709545,0.004720308388270685,4.25,0.21005090776955937,-0.3258356110425286,0.0037892151186294885,-0.24628029519639227
-0.2555651805838801,-0.9067728350626614,0,-0.1081713299428126,-0.0357300989066371,-0.5476709311850593,0.14605544173191348,0.8296844746973088,-0.6728950340527439,4.25,-0.015799011377526054,0.231739563341346,0.6101629377275927,0.0038649723177191695
-0.0738511170886107,0.45804988851083317,0,-0.4187856004362878,-0.2723444719840525,0.011889940049914787,-0.7594655394557192,-0.061886039255176044,0.01033033149538669,2.332949995,0.3180532319516326,-0.03382749594883862,0.004731807189741821,0.11405394322534519
0.5927905484376037,-0.7039310750311918,1,-0.15872191429430374,0.9072094963839579,0.5747420717233245,-0.16930928360512087,0.7322688540157882,0.7297770506872562,3.507083137,0.02687309360160196,-0.41728368803001215,-0.5137127438233727,-0.14399402793203303
-0.5932108462879248,0.8085688182439578,1,-0.104719107318938,-0.8830954341544579,-0.8608218947315884,-0.4064906516090882,-0.699366679272593,0.5670291738871023,3.526005966,0.04256733816999715,-0.4796517929525254,0.4584821090397419,0.09247696554208483
0.04396761395884031,0.7698973848710468,1,0.8412473556890836,-0.38911016503174306,0.26685377966554896,0.7529536573732822,0.8108581256873237,-0.12309506903003664,4.25,0.6334202732216979,0.03385055100593089,-0.09477057173674619,-0.32733789740469676
0.2023303784820335,0.2945164846718262,0,-0.7994092525863005,0.8905386762412246,-0.7054806983821631,0.013275656635580287,-0.15708591563563679,-0.5578315713465101,3.179654505,-0.010612682748641597,0.059589631812848605,-0.16429059343193514,-0.7119048575731908
-0.8953642107115546,0.33099764080986654,1,-0.44108346433382367,0.9072094963839579,0.8863054614374931,0.15446403020882923,0.8552532287539485,0.16553839614392712,4.25,-0.0681315295594748,-0.2963634414111128,0.05479281858708899,-0.4001551075415796
0.23297849180591532,-0.9067728350626614,1,0.08304035147664403,0.6579782000831936,0.7893664234702895,-0.532919123002074,0.7149730706198969,0.8526580637328335,3.138077151,-0.044253791282717114,-0.21125856752347286,-0.7731671697900608,0.054638740998878006
-0.652256801831418,0.8892326581790249,1,0.4097554583733676,-0.8311159373913856,0.8863054614374931,0.5994686258695751,0.3022092681439315,-0.6266231412956242,4.25,0.24563554157364054,-0.5800080497079013,-0.5572137616107986,-0.34055429188721825
-0.8659034336368544,0.7401215788554575,0,0.27223761128103496,0.13395108910770356,-0.7915917741169913,0.8626694087426906,0.3280031953332626,0.6481836471425246,4.25,0.23485105916133286,-0.6408738164396706,0.4797347043114141,0.03646652452717428
0.9214505409332693,0.7744946662222343,1,0.9044479422189557,-0.18663724193989212,-0.029899633059720994,0.5862738155619428,-0.5958809442790093,-0.6858302648876725,4.25,0.5302541460618547,0.7136585291404096,-0.5311718820892845,-0.1688036694139568
0.9214505409332693,0.3051493845623844,1,0.6075911335230422,0.6212947524895008,-0.6737440118734134,-0.015569746279151869,0.18778669149023047,0.8298437655801864,4.25,-0.009460039790416052,0.2811800654704633,0.2532263143497254,0.3774931829170137
0.6398281137242866,-0.3205952977268814,0,0.12270429999626041,-0.8728199473427605,0.1941348974778161,0.671828768138891,0.08097870627481477,0.385618329308186,4.25,0.08243627871183257,-0.2051258846134666,-0.12362742309350049,-0.1070987606614663
